datetime,open,high,low,close,Volume
2019/1/2 9:01:00,5622,5644,5622,5644,25070
2019/1/2 9:02:00,5644,5652,5642,5650,17234
2019/1/2 9:03:00,5650,5650,5640,5642,14120
2019/1/2 9:04:00,5642,5642,5588,5606,39450
2019/1/2 9:05:00,5610,5616,5604,5614,15314
2019/1/2 9:06:00,5612,5614,5600,5600,17734
2019/1/2 9:07:00,5600,5616,5600,5610,10816
2019/1/2 9:08:00,5610,5614,5606,5612,9158
2019/1/2 9:09:00,5612,5634,5612,5632,14632
2019/1/2 9:10:00,5632,5640,5628,5636,12518
2019/1/2 9:11:00,5636,5640,5634,5640,6914
2019/1/2 9:12:00,5640,5648,5630,5648,11648
2019/1/2 9:13:00,5648,5648,5638,5640,9734
2019/1/2 9:14:00,5638,5640,5632,5638,6966
2019/1/2 9:15:00,5636,5638,5630,5636,5950
2019/1/2 9:16:00,5636,5640,5632,5632,7750
2019/1/2 9:17:00,5634,5634,5624,5628,9870
2019/1/2 9:18:00,5628,5634,5626,5632,3822
2019/1/2 9:19:00,5632,5632,5626,5626,2854
2019/1/2 9:20:00,5626,5640,5626,5634,5864
2019/1/2 9:21:00,5636,5636,5628,5630,4016
2019/1/2 9:22:00,5632,5632,5626,5628,3352
2019/1/2 9:23:00,5630,5630,5626,5628,2786
2019/1/2 9:24:00,5626,5632,5624,5626,4528
2019/1/2 9:25:00,5628,5632,5626,5630,2444
2019/1/2 9:26:00,5630,5632,5628,5630,1272
2019/1/2 9:27:00,5630,5632,5628,5632,1950
2019/1/2 9:28:00,5632,5636,5628,5634,2224
2019/1/2 9:29:00,5636,5636,5628,5630,1862
2019/1/2 9:30:00,5630,5634,5628,5630,1816
2019/1/2 9:31:00,5632,5632,5630,5632,1008
2019/1/2 9:32:00,5630,5630,5608,5620,15496
2019/1/2 9:33:00,5620,5620,5610,5616,6206
2019/1/2 9:34:00,5616,5616,5604,5608,12652
2019/1/2 9:35:00,5608,5612,5606,5612,6740
2019/1/2 9:36:00,5612,5612,5604,5608,6254
2019/1/2 9:37:00,5608,5612,5606,5608,4890
2019/1/2 9:38:00,5608,5610,5604,5608,5994
2019/1/2 9:39:00,5608,5612,5608,5610,4836
2019/1/2 9:40:00,5610,5612,5602,5606,7894
2019/1/2 9:41:00,5604,5612,5600,5612,10546
2019/1/2 9:42:00,5612,5614,5606,5614,3298
2019/1/2 9:43:00,5614,5614,5608,5612,1832
2019/1/2 9:44:00,5610,5612,5608,5608,1906
2019/1/2 9:45:00,5608,5608,5596,5598,11972
2019/1/2 9:46:00,5600,5606,5596,5604,7072
2019/1/2 9:47:00,5604,5604,5596,5602,6506
2019/1/2 9:48:00,5600,5604,5594,5594,9422
2019/1/2 9:49:00,5596,5602,5592,5598,5460
2019/1/2 9:50:00,5598,5602,5596,5600,3044
2019/1/2 9:51:00,5600,5602,5598,5600,2462
2019/1/2 9:52:00,5600,5604,5596,5604,3616
2019/1/2 9:53:00,5604,5612,5600,5608,6926
2019/1/2 9:54:00,5608,5610,5602,5610,4262
2019/1/2 9:55:00,5610,5610,5602,5604,2166
2019/1/2 9:56:00,5602,5606,5600,5606,1554
2019/1/2 9:57:00,5604,5608,5604,5608,744
2019/1/2 9:58:00,5608,5608,5604,5606,888
2019/1/2 9:59:00,5606,5606,5602,5602,1144
2019/1/2 10:00:00,5602,5602,5596,5598,4960
2019/1/2 10:01:00,5598,5606,5596,5600,4304
2019/1/2 10:02:00,5600,5600,5590,5594,10974
2019/1/2 10:03:00,5594,5600,5594,5598,3916
2019/1/2 10:04:00,5598,5600,5594,5594,2676
2019/1/2 10:05:00,5594,5596,5584,5586,19962
2019/1/2 10:06:00,5588,5602,5586,5590,10810
2019/1/2 10:07:00,5592,5594,5588,5594,4280
2019/1/2 10:08:00,5594,5594,5588,5592,3022
2019/1/2 10:09:00,5590,5592,5588,5590,1306
2019/1/2 10:10:00,5592,5592,5582,5582,12592
2019/1/2 10:11:00,5582,5588,5576,5580,13782
2019/1/2 10:12:00,5580,5582,5570,5574,16740
2019/1/2 10:13:00,5574,5580,5572,5572,9534
2019/1/2 10:14:00,5574,5574,5560,5564,20742
2019/1/2 10:15:00,5566,5570,5564,5570,7376
2019/1/2 10:31:00,5570,5574,5564,5570,7296
2019/1/2 10:32:00,5570,5570,5564,5568,4898
2019/1/2 10:33:00,5568,5576,5564,5572,5636
2019/1/2 10:34:00,5574,5576,5570,5576,4300
2019/1/2 10:35:00,5574,5584,5574,5576,8586
2019/1/2 10:36:00,5574,5580,5574,5580,2110
2019/1/2 10:37:00,5580,5580,5572,5574,3628
2019/1/2 10:38:00,5576,5578,5572,5574,2066
