datetime,open,high,low,close
2019-01-30 15:18:44,2.1505,2.1505,2.1505,2.1505
2019-01-30 15:19:00,2.1505,2.1535,2.1505,2.1505
2019-01-30 15:20:00,2.1505,2.1525,2.1505,2.1525
2019-01-30 15:21:00,2.1525,2.1525,2.1485,2.1485
2019-01-30 15:22:00,2.1485,2.1485,2.1485,2.1485
2019-01-30 15:23:00,2.1485,2.1505,2.1485,2.1505
2019-01-30 15:24:00,2.1505,2.1505,2.1505,2.1505
2019-01-30 15:25:00,2.1505,2.1525,2.1505,2.1525
2019-01-30 15:26:00,2.1525,2.1585,2.1525,2.1575
2019-01-30 15:27:00,2.1575,2.1575,2.1575,2.1575
2019-01-30 15:28:00,2.1575,2.1595,2.1575,2.1595
2019-01-30 15:29:00,2.1595,2.1595,2.1575,2.1585
2019-01-30 15:30:00,2.1585,2.1585,2.1575,2.1575
2019-01-30 15:31:00,2.1575,2.1635,2.1575,2.1625
2019-01-30 15:32:00,2.1625,2.1645,2.1625,2.1645
2019-01-30 15:33:00,2.1645,2.1645,2.1615,2.1625
2019-01-30 15:34:00,2.1625,2.1635,2.1615,2.1615
2019-01-30 15:35:00,2.1615,2.1615,2.1615,2.1615
2019-01-30 15:36:00,2.1615,2.1615,2.1615,2.1615
2019-01-30 15:37:00,2.1615,2.1625,2.1615,2.1625
2019-01-30 15:38:00,2.1625,2.1625,2.1625,2.1625
2019-01-30 15:39:00,2.1625,2.1625,2.1615,2.1615
2019-01-30 15:40:00,2.1615,2.1615,2.1605,2.1615
2019-01-30 15:41:00,2.1615,2.1615,2.1605,2.1605
2019-01-30 15:42:00,2.1605,2.1605,2.1605,2.1605
2019-01-30 15:43:00,2.1605,2.1615,2.1605,2.1615
2019-01-30 15:44:00,2.1615,2.1645,2.1615,2.1645
2019-01-30 15:45:00,2.1645,2.1645,2.1645,2.1645
2019-01-30 15:46:00,2.1645,2.1645,2.1645,2.1645
2019-01-30 15:47:00,2.1645,2.1645,2.163,2.1635
2019-01-30 15:48:00,2.1635,2.1635,2.1635,2.1635
2019-01-30 15:49:00,2.1635,2.1635,2.1615,2.1615
2019-01-30 15:50:00,2.1615,2.1615,2.1615,2.1615
2019-01-30 15:51:00,2.1615,2.163,2.1615,2.1625
2019-01-30 15:52:00,2.1625,2.1635,2.1625,2.1625
2019-01-30 15:53:00,2.1625,2.1625,2.1625,2.1625
2019-01-30 15:54:00,2.1625,2.164,2.1625,2.1635
2019-01-30 15:55:00,2.1635,2.1655,2.1635,2.1655
2019-01-30 15:56:00,2.1655,2.1665,2.1655,2.1665
2019-01-30 15:57:00,2.1665,2.1665,2.166,2.1665
2019-01-30 15:58:00,2.1665,2.1665,2.1655,2.1655
2019-01-30 15:59:00,2.1655,2.1675,2.1655,2.1665
2019-01-30 16:00:00,2.1665,2.1665,2.1645,2.1645
2019-01-30 16:01:00,2.1645,2.1645,2.1645,2.1645
2019-01-30 16:02:00,2.1645,2.1645,2.1635,2.1635
2019-01-30 16:03:00,2.1635,2.1635,2.1635,2.1635
2019-01-30 16:04:00,2.1635,2.1635,2.1635,2.1635
2019-01-30 16:05:00,2.1635,2.1635,2.1625,2.1625
