,0,1,2,3
0,6.079,5.821,5.95,810.16
1,6.241,5.918,6.176,1027.55
2,6.241,6.015,6.034,1116.15
3,6.047,5.918,6.002,1294.0
4,6.144,5.814,5.937,2779.7
5,5.885,5.691,5.821,1905.0
6,5.918,5.691,5.834,1257.5
7,5.853,5.756,5.769,931.0
8,5.756,5.562,5.724,1485.5
9,5.627,5.497,5.517,2121.0
10,5.627,5.439,5.465,1496.15
11,5.607,5.465,5.594,820.5
12,5.653,5.368,5.4,1667.0
13,5.549,5.29,5.433,1498.0
14,5.297,5.174,5.213,1269.0
15,5.303,5.142,5.18,792.69
16,5.29,5.187,5.239,1407.69
17,5.213,5.109,5.167,1195.0
18,5.303,5.142,5.239,1063.0
19,5.239,4.915,4.935,1257.0
20,4.98,4.689,4.87,673.5
21,4.928,4.773,4.818,755.5
22,5.109,4.779,5.07,1167.15
23,5.109,4.851,4.902,2115.61
24,4.993,4.786,4.967,774.15
25,5.032,4.87,4.967,633.65
26,4.973,4.883,4.889,307.0
27,4.915,4.721,4.805,488.0
28,4.786,4.721,4.734,741.0
29,4.818,4.708,4.734,687.0
30,4.838,4.721,4.818,538.69
31,5.691,4.838,5.594,6394.69
32,5.801,5.342,5.497,9620.12
33,5.659,5.077,5.167,4364.0
34,5.581,5.174,5.206,4567.5
35,5.2,4.941,5.058,1963.5
36,5.29,4.915,5.213,1938.34
37,5.303,5.083,5.232,2885.5
38,5.523,5.232,5.471,7907.72
39,6.144,5.491,6.047,11576.77
40,6.144,5.691,6.105,16572.49
41,6.079,5.821,5.853,8800.0
42,5.976,5.691,5.698,6319.5
43,5.691,5.497,5.53,6014.61
44,5.821,5.497,5.536,2461.0
45,5.724,5.53,5.53,2563.24
46,5.594,5.271,5.355,2376.34
47,5.433,5.297,5.42,1380.0
48,5.672,5.42,5.627,2974.84
49,5.808,5.51,5.51,3905.78
50,5.607,5.413,5.594,1549.0
51,5.834,5.562,5.821,5392.68
52,5.95,5.769,5.821,7790.0
53,5.847,5.691,5.821,2899.22
54,6.047,5.84,6.015,6568.74
55,6.015,5.885,5.924,3957.5
56,6.079,5.769,6.015,4198.56
57,6.066,5.821,5.853,4433.0
58,6.015,5.775,5.995,3410.78
59,6.267,5.931,6.176,12157.08
60,6.144,6.047,6.118,4594.11
61,6.112,5.898,5.918,3888.78
62,5.982,5.775,5.982,2689.7
63,6.047,5.944,5.989,5152.9
64,6.144,5.808,5.937,2890.5
65,6.015,5.756,5.756,3036.0
66,5.821,5.691,5.795,1582.0
67,5.84,5.659,5.678,1868.0
68,5.769,5.53,5.756,1538.91
69,5.756,5.627,5.646,876.0
70,5.743,5.601,5.64,870.0
71,5.691,5.601,5.672,787.9
72,5.827,5.698,5.827,2357.5
73,5.918,5.743,5.756,2786.0
74,5.685,5.594,5.594,1520.5
75,5.691,5.543,5.614,724.0
76,5.614,5.226,5.407,1226.0
77,5.433,4.844,5.109,2663.85
78,5.271,5.109,5.219,2000.0
79,5.232,5.167,5.226,716.0
80,5.277,5.219,5.252,695.0
81,5.252,5.096,5.116,815.5
82,5.174,5.103,5.129,537.0
83,5.239,5.012,5.232,703.0
84,5.245,5.174,5.226,583.5
85,5.258,5.051,5.096,758.0
86,5.206,5.07,5.161,381.0
87,5.433,5.045,5.303,2214.01
88,5.271,5.174,5.239,526.0
89,5.29,5.18,5.226,299.01
90,5.252,5.174,5.252,406.5
91,7.761,6.338,7.004,34282.92
92,8.084,6.791,8.071,48043.17
93,8.977,7.897,8.498,42558.69
94,7.761,6.726,6.855,26544.84
95,7.146,6.545,6.726,10409.93
96,6.855,6.151,6.209,6843.0
97,7.47,5.827,6.5,12215.18
98,6.519,6.209,6.325,3280.0
99,6.674,6.306,6.603,6384.53
100,6.804,6.37,6.758,11427.0
101,6.843,6.338,6.661,2915.5
102,6.985,6.648,6.972,15408.6
103,7.043,6.661,6.694,7606.5
104,6.694,6.467,6.661,4381.7
105,6.827,6.539,6.827,4659.69
106,6.827,6.467,6.539,5387.4
107,6.683,6.467,6.625,1896.74
108,6.575,6.431,6.431,2743.85
109,6.611,6.467,6.575,1954.95
110,6.575,6.431,6.467,2586.42
111,6.489,5.885,5.943,10674.53
112,6.158,5.893,6.0,4400.1
113,5.95,5.806,5.857,3802.4
114,5.979,5.878,5.9,2272.9
115,6.144,5.857,6.108,4347.4
116,6.108,5.928,5.964,2668.2
117,6.072,5.95,6.065,2780.75
118,6.115,5.979,6.094,1876.92
119,6.144,5.979,6.036,1714.08
120,6.022,5.893,6.015,1411.22
121,6.0,5.893,5.986,1173.7
122,5.878,5.785,5.828,2782.6
123,5.756,5.648,5.663,1675.75
124,5.785,5.648,5.785,1558.09
125,5.964,5.792,5.936,1655.8
126,6.036,5.749,5.914,3235.55
127,6.173,5.821,6.144,4464.85
128,6.18,5.964,6.036,3565.49
129,6.108,5.821,5.857,2004.5
130,5.907,5.813,5.864,913.45
131,5.957,5.828,5.928,763.47
132,6.036,5.857,5.893,978.61
133,6.309,5.821,6.216,8380.63
134,6.324,6.058,6.252,8466.12
135,6.661,6.108,6.18,15748.3
136,6.374,6.151,6.281,5706.35
137,6.467,6.273,6.273,5425.0
138,6.381,6.108,6.302,7418.22
139,6.309,6.115,6.18,2428.4
140,6.396,6.043,6.108,3939.5
141,6.13,6.022,6.079,2162.4
142,6.108,6.015,6.043,1957.22
143,6.108,6.029,6.043,1437.74
144,6.324,6.0,6.288,2898.9
145,6.561,6.144,6.144,8984.77
146,6.259,6.115,6.166,2044.3
147,6.374,6.158,6.194,2091.35
148,6.324,6.18,6.245,1845.78
149,6.324,6.115,6.18,1223.8
150,6.216,6.101,6.216,2017.1
151,6.324,6.072,6.252,5059.7
152,6.345,6.108,6.216,4093.25
153,6.827,6.18,6.683,11063.49
154,6.899,6.403,6.431,22816.55
155,6.467,6.288,6.367,6612.35
156,6.647,6.352,6.403,7426.25
157,6.539,6.324,6.381,4474.6
158,6.431,6.18,6.18,1731.0
159,6.237,6.122,6.18,1658.45
160,6.252,6.079,6.079,1607.0
161,6.13,6.036,6.101,1037.99
162,6.13,6.043,6.043,1083.7
163,6.072,5.972,5.986,1297.0
164,6.101,5.928,5.943,1340.5
165,5.964,5.9,5.907,822.8
166,5.936,5.864,5.936,1371.4
167,6.0,5.893,5.936,645.9
168,6.072,5.821,6.036,1238.9
169,6.259,5.893,5.893,2263.78
170,6.108,5.893,6.0,1424.4
171,6.108,5.964,6.015,2193.37
172,6.015,5.835,6.015,971.35
173,6.072,5.928,6.072,1205.25
174,6.245,5.979,5.979,1497.8
175,6.036,5.893,5.914,1207.15
176,5.95,5.821,5.828,1519.5
177,5.893,5.785,5.813,1725.4
178,5.907,5.749,5.749,1327.0
179,5.849,5.727,5.734,1485.0
180,5.734,5.591,5.677,1037.3
181,5.72,5.569,5.677,428.4
182,5.677,5.598,5.634,636.6
183,5.641,5.533,5.612,763.8
184,5.727,5.605,5.641,375.5
185,5.677,5.447,5.454,1366.0
186,5.447,5.318,5.425,1130.3
187,5.663,5.39,5.533,1075.2
188,5.605,5.433,5.497,310.4
189,5.562,5.425,5.533,174.8
190,5.663,5.461,5.469,1077.05
191,5.425,5.303,5.318,1207.0
192,5.461,5.282,5.303,959.2
193,5.519,5.188,5.246,1807.45
194,5.354,5.174,5.181,2426.85
195,5.361,5.16,5.282,1872.8
196,5.354,5.21,5.303,1476.7
197,5.354,5.217,5.318,382.1
198,5.354,5.21,5.354,1712.5
199,5.533,5.332,5.346,2466.6
200,5.821,5.282,5.677,2666.8
201,5.813,5.548,5.605,4254.65
202,5.641,5.497,5.533,1165.65
203,6.396,5.813,6.029,9002.55
204,5.964,5.684,5.713,4031.25
205,5.677,5.497,5.519,2116.5
206,5.591,5.354,5.497,1362.9
207,5.598,5.425,5.461,871.5
208,5.605,5.425,5.533,1220.15
209,5.569,5.454,5.519,832.0
210,5.663,5.497,5.641,759.3
211,5.713,5.569,5.713,1451.7
212,5.677,5.375,5.576,1438.75
213,5.569,5.411,5.447,1157.4
214,5.562,5.375,5.512,614.5
215,5.54,5.433,5.497,344.0
216,5.447,5.332,5.368,1043.61
217,5.39,5.354,5.39,694.5
218,5.447,5.318,5.447,494.85
219,5.418,5.361,5.39,425.81
220,5.418,5.361,5.39,494.8
221,5.497,5.318,5.411,309.3
222,5.476,5.361,5.425,230.0
223,5.425,5.303,5.303,544.1
224,5.325,5.282,5.31,408.45
225,5.39,5.303,5.332,370.5
